AIRLINE,MONTH,DAY_OF_WEEK,TAXI_OUT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY
"Southwest Airlines Co.",8,1,13,1,896,-4
"Delta Air Lines Inc.",11,4,15,-4,250,-11
"American Airlines Inc.",7,3,9,-1,1303,-17
"United Air Lines Inc.",5,1,16,0,937,4
"United Air Lines Inc.",3,2,10,79,622,84
"Southwest Airlines Co.",7,2,17,2,1750,1
"Atlantic Southeast Airlines",11,6,10,42,771,22
"United Air Lines Inc.",4,3,14,-3,854,-20
"Southwest Airlines Co.",6,2,10,27,197,18
"American Airlines Inc.",11,7,20,3,2174,-2
"United Air Lines Inc.",11,2,13,3,2611,-28
"American Eagle Airlines Inc.",1,3,9,56,215,46
"Delta Air Lines Inc.",11,3,12,-7,1096,-14
"Spirit Air Lines",9,7,12,16,2173,11
"Atlantic Southeast Airlines",2,3,9,2,429,-1
"United Air Lines Inc.",6,7,23,0,1325,-6
"Delta Air Lines Inc.",2,1,7,6,356,11
"Southwest Airlines Co.",1,2,8,9,1947,17
"American Airlines Inc.",11,2,24,-4,1171,-1
"American Airlines Inc.",7,5,22,-8,867,-14
"Delta Air Lines Inc.",9,5,13,-1,689,-3
"Southwest Airlines Co.",5,3,8,-6,667,-13
"Southwest Airlines Co.",2,5,15,87,990,92
"Atlantic Southeast Airlines",1,5,11,-5,674,-2
"Atlantic Southeast Airlines",3,2,19,35,508,21
"American Airlines Inc.",12,2,10,-8,1242,-32
"Skywest Airlines Inc.",12,4,19,3,190,-1
"Southwest Airlines Co.",3,5,14,34,296,34
"Southwest Airlines Co.",6,5,11,2,543,-7
"Southwest Airlines Co.",5,3,11,-1,551,-10
"Southwest Airlines Co.",7,4,11,11,516,9
"JetBlue Airways",12,3,13,80,1111,76
"American Airlines Inc.",12,1,21,14,290,11
"Southwest Airlines Co.",1,5,11,-6,859,-24
"Southwest Airlines Co.",7,5,19,67,549,70
"Southwest Airlines Co.",1,7,9,-4,281,-24
"Southwest Airlines Co.",11,1,24,-1,651,3
"Atlantic Southeast Airlines",10,3,15,-5,482,-15
"American Airlines Inc.",5,5,12,-6,224,-17
"Atlantic Southeast Airlines",4,4,18,-3,692,-3
"Southwest Airlines Co.",6,3,12,28,590,25
"Skywest Airlines Inc.",7,1,25,-2,546,-10
"Southwest Airlines Co.",4,2,8,1,816,4
"American Airlines Inc.",4,7,25,0,1089,-7
"Southwest Airlines Co.",5,4,17,3,883,-11
"Southwest Airlines Co.",6,1,6,12,258,6
"Delta Air Lines Inc.",4,2,12,-2,874,-7
"American Eagle Airlines Inc.",7,4,17,-8,108,2
"Spirit Air Lines",12,4,10,-5,1222,-10
"Skywest Airlines Inc.",7,4,19,-1,590,-7
"Southwest Airlines Co.",4,7,14,-5,436,-2
"Skywest Airlines Inc.",6,7,9,-6,258,-14
"Delta Air Lines Inc.",12,2,12,-2,946,-31
"Atlantic Southeast Airlines",4,7,15,10,201,12
"Atlantic Southeast Airlines",4,1,15,4,849,-2
"Southwest Airlines Co.",12,1,13,-4,373,-5
"United Air Lines Inc.",2,5,13,13,964,7
"Delta Air Lines Inc.",4,3,17,-2,547,-11
"JetBlue Airways",6,7,21,-4,1046,-5
"Southwest Airlines Co.",4,4,8,9,480,5
"United Air Lines Inc.",8,6,16,-1,413,-11
"Southwest Airlines Co.",7,1,19,-1,337,-2
"Delta Air Lines Inc.",3,4,15,12,1671,9
"Atlantic Southeast Airlines",12,4,11,-4,201,-9
"United Air Lines Inc.",5,5,13,-5,2475,-7
"Delta Air Lines Inc.",12,7,27,30,250,35
"Southwest Airlines Co.",10,1,11,-2,1164,-11
"Alaska Airlines Inc.",2,4,15,-2,834,-14
"Hawaiian Airlines Inc.",3,5,13,-6,2556,23
"American Airlines Inc.",7,3,11,-4,813,-13
"American Airlines Inc.",9,2,21,1,1726,22
"Delta Air Lines Inc.",7,5,10,0,448,-17
"Southwest Airlines Co.",7,4,11,18,423,11
"Delta Air Lines Inc.",5,6,18,-9,936,-5
"Southwest Airlines Co.",4,6,9,-2,486,-9
"American Airlines Inc.",3,2,15,-2,1258,-8
"Delta Air Lines Inc.",2,4,10,15,453,-8
"American Airlines Inc.",8,5,13,-3,192,-8
"American Airlines Inc.",9,5,14,-3,590,-4
"Atlantic Southeast Airlines",8,6,29,-5,302,3
"JetBlue Airways",4,6,16,0,2248,-16
"Skywest Airlines Inc.",8,6,14,31,956,23
"United Air Lines Inc.",8,3,12,-3,1199,-25
"Southwest Airlines Co.",7,7,8,-2,1609,-14
"Delta Air Lines Inc.",2,5,15,29,425,23
"Delta Air Lines Inc.",3,7,30,-1,507,1
"American Airlines Inc.",1,4,12,-4,2288,-24
"American Airlines Inc.",9,3,17,-5,366,-13
"Southwest Airlines Co.",2,3,23,-4,667,5
"Southwest Airlines Co.",7,6,9,-2,395,-13
"US Airways Inc.",1,5,22,0,361,-2
"Atlantic Southeast Airlines",9,5,32,-10,463,-15
"Delta Air Lines Inc.",6,1,18,3,356,-14
"American Eagle Airlines Inc.",5,2,11,-3,158,-12
"United Air Lines Inc.",4,5,14,-5,191,-11
"JetBlue Airways",1,4,15,-5,1069,-21
"Southwest Airlines Co.",1,5,21,-4,1452,-1
"Skywest Airlines Inc.",12,6,43,0,770,25
"United Air Lines Inc.",4,3,22,-3,416,-14
"United Air Lines Inc.",9,2,38,1,1190,22
"Southwest Airlines Co.",2,3,13,-6,414,-8
"Southwest Airlines Co.",4,7,11,1,861,3
"Delta Air Lines Inc.",11,1,18,-1,594,-12
"American Airlines Inc.",1,4,39,26,867,63
"Southwest Airlines Co.",9,7,9,0,491,-1
"Southwest Airlines Co.",2,1,11,51,277,59
"Delta Air Lines Inc.",7,2,13,-2,692,-15
"Hawaiian Airlines Inc.",6,2,18,-7,4983,-6
"Southwest Airlines Co.",8,1,8,-1,325,-9
"Skywest Airlines Inc.",4,5,17,-5,373,-21
"Atlantic Southeast Airlines",6,1,12,-8,760,-14
"Southwest Airlines Co.",3,1,15,-3,397,-5
"Southwest Airlines Co.",8,7,9,-5,935,-14
"Skywest Airlines Inc.",12,5,33,-5,144,-10
"JetBlue Airways",1,2,10,38,2475,18
"Delta Air Lines Inc.",2,7,13,-7,373,-24
"US Airways Inc.",1,2,19,3,2075,-6
"Atlantic Southeast Airlines",1,7,30,-5,866,-5
"Alaska Airlines Inc.",6,5,15,-6,421,-2
"American Eagle Airlines Inc.",9,5,20,7,461,8
"United Air Lines Inc.",10,4,10,-3,937,-3
"United Air Lines Inc.",9,6,16,2,2556,-1
"Southwest Airlines Co.",4,3,12,1,248,2
"Southwest Airlines Co.",8,2,7,59,1521,48
"Delta Air Lines Inc.",4,2,20,77,946,67
"United Air Lines Inc.",9,3,12,-4,2454,-20
"Delta Air Lines Inc.",12,7,19,-1,1399,-7
"Southwest Airlines Co.",6,7,7,81,349,67
"Southwest Airlines Co.",7,1,15,-2,1986,-8
"United Air Lines Inc.",12,1,16,-3,1023,-15
"Delta Air Lines Inc.",11,1,13,-2,250,-20
"Skywest Airlines Inc.",2,7,18,9,867,-17
"Delta Air Lines Inc.",1,7,11,-4,1865,0
"Southwest Airlines Co.",10,2,11,1,1521,2
"Atlantic Southeast Airlines",7,1,11,-5,1091,-27
"Southwest Airlines Co.",5,6,9,11,507,-5
"Atlantic Southeast Airlines",5,6,13,-9,231,-7
"United Air Lines Inc.",5,3,13,8,2565,-3
"American Airlines Inc.",6,1,9,5,258,9
"Alaska Airlines Inc.",6,2,10,2,2562,-3
"Southwest Airlines Co.",9,6,9,-5,971,-13
"Skywest Airlines Inc.",9,2,14,12,590,4
"Delta Air Lines Inc.",4,3,40,-8,226,-11
"JetBlue Airways",10,6,13,-6,1023,2
"JetBlue Airways",1,7,21,-8,413,-19
"Skywest Airlines Inc.",6,1,12,-6,866,-20
"Delta Air Lines Inc.",11,3,17,-4,444,-5
"Skywest Airlines Inc.",4,3,14,-3,501,-4
"Southwest Airlines Co.",1,6,31,7,507,9
"Southwest Airlines Co.",1,1,17,37,602,44
"Skywest Airlines Inc.",9,5,34,-2,693,7
"Skywest Airlines Inc.",8,2,20,-6,224,-12
"Atlantic Southeast Airlines",3,5,24,-2,404,7
"American Airlines Inc.",7,2,16,-4,733,-7
"JetBlue Airways",3,7,19,-2,937,-12
"American Eagle Airlines Inc.",4,4,17,-4,270,-1
"Southwest Airlines Co.",12,5,26,16,277,24
"American Airlines Inc.",10,3,17,0,936,-5
"Skywest Airlines Inc.",10,1,16,57,809,62
"Delta Air Lines Inc.",5,5,20,-1,1199,-5
"Atlantic Southeast Airlines",1,1,10,-5,308,-9
"Southwest Airlines Co.",11,6,17,15,368,7
"Southwest Airlines Co.",12,7,78,13,187,83
"Hawaiian Airlines Inc.",7,6,10,-1,216,1
"American Airlines Inc.",10,7,12,-6,641,-17
"Skywest Airlines Inc.",11,7,13,33,541,20
"American Eagle Airlines Inc.",7,5,37,-5,272,18
"Delta Air Lines Inc.",2,3,50,0,502,17
"JetBlue Airways",4,3,20,-6,994,-9
"Southwest Airlines Co.",8,1,11,1,601,-4
"Atlantic Southeast Airlines",4,4,37,187,1154,201
"JetBlue Airways",11,2,11,-1,1249,-7
"Atlantic Southeast Airlines",6,4,8,9,748,-2
"Southwest Airlines Co.",7,5,9,2,345,-5
"American Eagle Airlines Inc.",7,1,15,-4,693,-14
"American Airlines Inc.",1,3,9,-5,802,-15
"American Airlines Inc.",6,7,10,3,190,-11
"Southwest Airlines Co.",8,4,9,-8,691,-11
"Delta Air Lines Inc.",6,6,26,-7,503,-2
"Virgin America",10,3,56,36,1381,161
"American Airlines Inc.",8,7,20,0,1096,-26
"Skywest Airlines Inc.",1,7,19,-3,838,-7
"Southwest Airlines Co.",3,4,8,16,1108,5
"American Eagle Airlines Inc.",2,1,17,0,812,12
"American Airlines Inc.",12,1,17,-2,632,-5
"JetBlue Airways",2,4,16,28,1617,26
"United Air Lines Inc.",12,3,10,-6,2133,-32
"Delta Air Lines Inc.",10,5,10,-4,1522,-18
"Hawaiian Airlines Inc.",9,3,9,-7,100,-8
"Spirit Air Lines",9,3,10,4,577,-5
"Southwest Airlines Co.",4,1,13,10,479,16
"Southwest Airlines Co.",3,1,8,-3,669,-19
"US Airways Inc.",2,1,39,-1,573,19
"JetBlue Airways",11,1,11,17,354,14
"Southwest Airlines Co.",8,7,17,-6,423,-6
"American Eagle Airlines Inc.",11,7,11,147,1250,246
"JetBlue Airways",11,2,14,-2,1035,-18
"United Air Lines Inc.",10,7,12,-6,2288,-21
"United Air Lines Inc.",1,3,37,-3,948,19
"Atlantic Southeast Airlines",11,3,12,-1,310,-13
"Southwest Airlines Co.",1,7,8,-2,1107,-5
"Delta Air Lines Inc.",10,2,15,-4,447,-12
"Southwest Airlines Co.",8,4,10,-6,602,-10
"Skywest Airlines Inc.",6,4,22,-5,156,-10
"Alaska Airlines Inc.",4,6,11,7,2640,-16
"Frontier Airlines Inc.",12,6,17,-2,1370,-19
"Delta Air Lines Inc.",12,6,13,-1,1174,-24
"Southwest Airlines Co.",7,2,13,-2,1703,1
"Southwest Airlines Co.",11,4,8,-4,319,-8
"Atlantic Southeast Airlines",7,2,22,-2,585,-3
"Atlantic Southeast Airlines",12,1,9,8,445,-4
"Virgin America",4,6,9,14,337,4
"Atlantic Southeast Airlines",7,7,8,-7,301,-21
"Delta Air Lines Inc.",3,7,15,-2,214,-7
"Delta Air Lines Inc.",11,3,9,-2,134,-12
"Delta Air Lines Inc.",5,2,15,-2,1535,4
"American Airlines Inc.",7,5,15,-7,641,-14
"US Airways Inc.",3,6,53,9,1605,62
"Skywest Airlines Inc.",9,2,15,-3,353,-2
"Skywest Airlines Inc.",3,4,37,-3,334,7
"American Eagle Airlines Inc.",8,1,8,-4,134,5
"Atlantic Southeast Airlines",2,1,30,-8,316,3
"Virgin America",5,6,16,25,337,19
"Skywest Airlines Inc.",10,2,19,-6,590,-12
"Skywest Airlines Inc.",6,7,12,-4,566,0
"American Airlines Inc.",2,7,14,-6,1017,-11
"United Air Lines Inc.",11,7,12,5,1024,5
"American Eagle Airlines Inc.",9,3,18,-10,130,-29
"Southwest Airlines Co.",6,6,20,0,404,-1
"Skywest Airlines Inc.",8,6,10,-9,462,-22
"Delta Air Lines Inc.",5,2,10,-3,304,-14
"Southwest Airlines Co.",6,7,17,28,587,28
"Southwest Airlines Co.",3,3,8,-2,1050,-24
"Delta Air Lines Inc.",8,6,15,-2,223,-12
"Skywest Airlines Inc.",6,1,24,75,363,71
"JetBlue Airways",11,1,17,-3,1189,15
"Southwest Airlines Co.",7,2,9,8,770,-4
"Southwest Airlines Co.",5,7,10,-4,347,-13
"Skywest Airlines Inc.",7,4,17,-4,220,-8
"Atlantic Southeast Airlines",6,3,16,-6,500,-5
"American Airlines Inc.",5,4,8,1,204,-2
"American Airlines Inc.",10,4,16,-1,930,-15
"US Airways Inc.",6,1,17,-4,813,-1
"Alaska Airlines Inc.",3,6,8,-14,571,-12
"American Airlines Inc.",2,7,17,50,1562,62
"Southwest Airlines Co.",7,2,10,9,480,9
"Southwest Airlines Co.",2,6,10,6,223,-2
"Southwest Airlines Co.",5,6,15,-1,325,4
"Skywest Airlines Inc.",2,5,17,50,1384,57
"United Air Lines Inc.",2,4,78,59,337,112
"Delta Air Lines Inc.",12,2,17,-1,712,-2
"Southwest Airlines Co.",3,7,65,9,327,61
"JetBlue Airways",8,3,16,40,944,32
"Delta Air Lines Inc.",5,7,13,-5,1276,-8
"United Air Lines Inc.",12,4,16,9,2449,0
"Southwest Airlines Co.",1,4,7,9,325,3
"Southwest Airlines Co.",2,2,16,0,391,0
"Alaska Airlines Inc.",10,4,11,-6,95,-4
"American Eagle Airlines Inc.",10,1,16,-3,812,-15
"American Eagle Airlines Inc.",10,2,11,-10,416,-19
"Alaska Airlines Inc.",12,2,16,2,550,-1
"Southwest Airlines Co.",8,2,8,24,591,11
"United Air Lines Inc.",12,6,14,330,2454,295
"Skywest Airlines Inc.",1,7,15,-11,677,-6
"US Airways Inc.",5,2,22,0,370,-1
"Skywest Airlines Inc.",7,1,8,82,562,70
"Delta Air Lines Inc.",10,2,22,-1,357,-3
"Southwest Airlines Co.",8,1,12,-1,666,-26
"JetBlue Airways",2,2,14,83,2475,73
"Southwest Airlines Co.",11,5,11,1,1587,-10
"American Airlines Inc.",6,1,14,3,1258,-17
"American Airlines Inc.",4,4,80,5,919,70
"Skywest Airlines Inc.",8,6,17,-1,536,-5
"Delta Air Lines Inc.",12,1,16,2,2172,2
"American Airlines Inc.",3,2,12,-4,1205,-18
"American Airlines Inc.",4,1,13,-11,1303,-14
"American Airlines Inc.",3,6,17,103,1464,72
"Delta Air Lines Inc.",1,1,18,13,2079,-16
"Southwest Airlines Co.",7,3,6,3,390,-1
"Atlantic Southeast Airlines",2,2,9,-10,433,-24
"US Airways Inc.",2,3,19,4,992,4
"US Airways Inc.",3,3,22,-7,280,-20
"Southwest Airlines Co.",11,3,14,2,338,4
"American Airlines Inc.",7,1,26,-5,980,5
"Delta Air Lines Inc.",2,4,14,0,321,-4
"Southwest Airlines Co.",8,4,13,27,255,24
"Delta Air Lines Inc.",5,2,12,-5,874,-23
"Southwest Airlines Co.",5,1,11,31,814,5
"JetBlue Airways",3,4,8,-2,972,-15
"Hawaiian Airlines Inc.",4,1,7,-6,163,-9
"Frontier Airlines Inc.",3,3,15,-15,628,-14
"Virgin America",6,2,30,116,2454,97
"Skywest Airlines Inc.",3,2,15,-5,996,-24
"Delta Air Lines Inc.",12,6,13,-11,1127,-15
"Delta Air Lines Inc.",6,2,19,0,2586,-17
"Southwest Airlines Co.",10,2,9,0,472,-2
"Skywest Airlines Inc.",5,1,17,-5,481,5
"United Air Lines Inc.",5,1,24,-4,2584,-19
"Southwest Airlines Co.",12,7,13,4,236,7
"Southwest Airlines Co.",4,5,6,-4,601,-18
"Atlantic Southeast Airlines",12,7,13,-4,173,0
"United Air Lines Inc.",4,3,10,1,1201,-17
"Hawaiian Airlines Inc.",8,1,20,-5,100,6
"JetBlue Airways",7,2,7,-6,353,-12
"Spirit Air Lines",5,5,12,2,680,3
"Southwest Airlines Co.",8,4,23,6,793,10
"US Airways Inc.",5,5,31,-7,214,-11
"Southwest Airlines Co.",8,1,14,1,323,0
"United Air Lines Inc.",7,5,12,56,1620,20
"Virgin America",8,4,19,5,1846,-3
"Skywest Airlines Inc.",4,5,15,-3,455,-7
"United Air Lines Inc.",12,6,31,-6,1201,-15
"American Airlines Inc.",5,6,13,-6,1258,-28
"American Airlines Inc.",10,7,24,15,1979,9
"United Air Lines Inc.",6,2,14,-1,888,-8
"Skywest Airlines Inc.",6,4,11,-6,630,-1
"Southwest Airlines Co.",12,2,8,-3,696,-20
"Virgin America",10,6,8,-1,1504,-11
"American Eagle Airlines Inc.",11,2,8,-2,139,-25
"Delta Air Lines Inc.",3,2,13,-6,528,-8
"American Airlines Inc.",3,2,10,-5,1846,-37
"American Eagle Airlines Inc.",2,1,13,7,315,-1
"Alaska Airlines Inc.",5,3,14,-9,697,-1
"American Airlines Inc.",11,6,17,-5,1235,-12
"Delta Air Lines Inc.",8,2,9,-7,640,-24
"Hawaiian Airlines Inc.",4,1,13,-8,2486,12
"Delta Air Lines Inc.",6,2,13,-4,1005,-17
"Southwest Airlines Co.",12,4,9,-3,488,-6
"Skywest Airlines Inc.",9,3,25,-2,235,3
"United Air Lines Inc.",10,5,87,31,811,93
"Southwest Airlines Co.",2,6,8,5,2106,-30
"Delta Air Lines Inc.",9,4,30,87,192,95
"Southwest Airlines Co.",12,4,14,0,990,-7
"Hawaiian Airlines Inc.",6,1,9,-4,216,-6
"American Eagle Airlines Inc.",3,1,12,2,561,-6
"Delta Air Lines Inc.",10,5,18,-5,422,-14
"Southwest Airlines Co.",9,1,11,-3,1814,-15
"Atlantic Southeast Airlines",10,5,12,-8,466,-19
"Skywest Airlines Inc.",6,1,7,-8,575,-20
"American Airlines Inc.",3,5,27,7,1045,13
"Southwest Airlines Co.",4,4,11,1,2039,-5
"United Air Lines Inc.",10,6,16,-5,2704,13
"United Air Lines Inc.",6,5,29,12,2565,43
"Delta Air Lines Inc.",8,5,22,1,749,4
"Delta Air Lines Inc.",12,3,8,-3,879,-7
"Southwest Airlines Co.",10,1,19,4,725,-16
"Atlantic Southeast Airlines",8,7,12,-6,667,-10
"Delta Air Lines Inc.",9,1,9,3,1927,-21
"Southwest Airlines Co.",3,5,13,22,302,24
"Atlantic Southeast Airlines",4,4,46,131,427,205
"Southwest Airlines Co.",9,4,11,0,296,0
"American Airlines Inc.",10,1,20,-4,1438,-13
"American Eagle Airlines Inc.",1,3,14,45,622,41
"Skywest Airlines Inc.",8,6,12,-2,748,-2
"Skywest Airlines Inc.",9,2,19,83,679,77
"Atlantic Southeast Airlines",7,4,23,19,190,23
"Southwest Airlines Co.",2,3,11,14,992,-20
"United Air Lines Inc.",4,4,12,-7,2367,-22
"US Airways Inc.",1,5,9,-3,1095,-9
"Southwest Airlines Co.",7,7,16,26,786,24
"Alaska Airlines Inc.",4,3,13,-4,987,-17
"American Airlines Inc.",7,7,14,-4,130,-9
"Southwest Airlines Co.",7,2,13,14,397,11
"Southwest Airlines Co.",9,2,11,-1,401,-4
"Delta Air Lines Inc.",7,3,8,-7,689,-27
"United Air Lines Inc.",6,2,20,-4,2704,-1
"American Airlines Inc.",10,6,12,-5,1916,-21
"Southwest Airlines Co.",6,2,9,-5,1111,0
"Southwest Airlines Co.",8,5,17,3,484,-1
"Skywest Airlines Inc.",5,5,16,65,599,51
"Southwest Airlines Co.",7,5,10,-2,1246,-15
"Southwest Airlines Co.",3,2,14,61,226,52
"Delta Air Lines Inc.",6,5,12,9,214,1
"US Airways Inc.",5,6,15,-1,2378,-18
"American Airlines Inc.",4,5,11,-4,612,-26
"Southwest Airlines Co.",9,2,10,-1,2106,-22
"Atlantic Southeast Airlines",5,6,13,0,458,4
"United Air Lines Inc.",2,7,29,25,888,38
"Southwest Airlines Co.",10,5,13,-4,446,-14
"United Air Lines Inc.",4,7,14,-1,1303,-10
"Atlantic Southeast Airlines",12,5,14,-11,192,-9
"Delta Air Lines Inc.",3,4,17,1,2139,-17
"Atlantic Southeast Airlines",12,2,10,-3,563,-8
"American Eagle Airlines Inc.",2,5,18,31,425,34
"Atlantic Southeast Airlines",7,4,12,0,551,0
"United Air Lines Inc.",11,3,25,209,447,209
"Frontier Airlines Inc.",10,6,11,36,1090,18
"Delta Air Lines Inc.",8,7,19,4,337,-3
"United Air Lines Inc.",5,2,12,20,794,6
"JetBlue Airways",5,2,25,-8,399,6
"Southwest Airlines Co.",6,2,10,-4,602,-18
"American Airlines Inc.",10,4,17,3,853,-12
"Skywest Airlines Inc.",7,4,17,-6,896,21
"Southwest Airlines Co.",3,5,6,27,668,9
"Atlantic Southeast Airlines",9,5,12,-5,930,-26
"Alaska Airlines Inc.",3,5,15,-12,2874,-73
"Delta Air Lines Inc.",9,5,17,-2,1749,-4
"Skywest Airlines Inc.",12,3,28,1,601,3
"Spirit Air Lines",12,2,11,22,1084,25
"United Air Lines Inc.",9,7,16,17,413,14
"American Airlines Inc.",9,6,16,-8,1849,-21
"JetBlue Airways",12,5,22,-3,399,-6
"Skywest Airlines Inc.",4,3,19,17,844,9
"JetBlue Airways",2,6,16,10,280,-14
"Southwest Airlines Co.",5,5,14,11,1313,9
"Southwest Airlines Co.",11,1,17,23,666,15
"Skywest Airlines Inc.",8,4,18,-8,273,-5
"Southwest Airlines Co.",5,1,11,-4,1050,-21
"United Air Lines Inc.",7,2,20,40,2446,20
"Delta Air Lines Inc.",4,5,20,-2,762,2
"Atlantic Southeast Airlines",3,3,16,-3,145,1
"Spirit Air Lines",4,3,20,97,632,95
"Delta Air Lines Inc.",2,5,19,47,1010,57
"American Airlines Inc.",8,2,14,1,1012,-3
"American Airlines Inc.",5,6,20,7,1671,-2
"Skywest Airlines Inc.",5,2,14,-2,119,0
"American Airlines Inc.",4,4,24,2,247,20
"American Eagle Airlines Inc.",4,4,48,-2,461,13
"Alaska Airlines Inc.",12,5,19,-5,867,-2
"Alaska Airlines Inc.",3,1,9,1,2607,-30
"American Airlines Inc.",11,1,19,-5,644,-11
"American Airlines Inc.",7,3,11,-9,550,-16
"Southwest Airlines Co.",7,3,12,10,448,3
"United Air Lines Inc.",6,5,26,134,1721,130
"Hawaiian Airlines Inc.",4,4,8,-8,216,-10
"Southwest Airlines Co.",5,1,17,-5,562,-13
"American Eagle Airlines Inc.",9,3,14,-5,309,-4
"Delta Air Lines Inc.",8,7,15,10,501,2
"Southwest Airlines Co.",3,6,6,8,370,-2
"Spirit Air Lines",10,5,10,-8,1139,-17
"Delta Air Lines Inc.",8,6,32,34,746,39
"Delta Air Lines Inc.",1,4,15,-3,632,-21
"Skywest Airlines Inc.",4,4,18,110,588,100
"Hawaiian Airlines Inc.",4,5,6,-1,100,4
"Skywest Airlines Inc.",3,4,16,-9,451,-10
"Skywest Airlines Inc.",6,4,12,136,196,125
"Atlantic Southeast Airlines",7,2,24,41,1008,33
"US Airways Inc.",4,6,21,35,544,38
"American Airlines Inc.",7,3,29,21,992,8
"Alaska Airlines Inc.",1,2,10,-8,2457,-10
"Atlantic Southeast Airlines",5,3,16,-3,300,-11
"United Air Lines Inc.",2,5,18,19,1167,-6
"Skywest Airlines Inc.",6,1,15,-2,174,2
"Atlantic Southeast Airlines",3,2,7,0,212,-1
"JetBlue Airways",1,4,29,36,1069,50
"Delta Air Lines Inc.",9,6,16,-2,2139,-8
"United Air Lines Inc.",6,1,13,-1,472,-17
"Atlantic Southeast Airlines",9,5,31,-3,108,6
"Frontier Airlines Inc.",4,4,12,-1,416,29
"American Eagle Airlines Inc.",9,5,9,-4,122,-10
"Southwest Airlines Co.",2,5,10,-2,239,-3
"Spirit Air Lines",2,7,11,-12,258,-17
"Hawaiian Airlines Inc.",10,1,9,-6,216,-3
"Skywest Airlines Inc.",9,6,11,-7,588,-19
"Southwest Airlines Co.",12,3,11,-8,1189,-22
"American Airlines Inc.",2,7,13,-5,721,-8
"Southwest Airlines Co.",1,1,7,87,289,74
"Southwest Airlines Co.",8,2,18,-1,802,5
"Skywest Airlines Inc.",1,1,14,-6,160,-2
"Hawaiian Airlines Inc.",11,7,7,22,100,14
"United Air Lines Inc.",2,2,13,-6,1379,-12
"American Airlines Inc.",2,1,16,2,469,6
"Delta Air Lines Inc.",3,7,19,-5,545,3
"Skywest Airlines Inc.",8,6,15,-9,896,-16
"Delta Air Lines Inc.",7,4,21,0,946,-4
"JetBlue Airways",9,3,12,30,997,21
"US Airways Inc.",6,6,10,-3,930,-14
"Atlantic Southeast Airlines",7,4,20,-4,223,-7
"American Airlines Inc.",8,3,13,-4,1558,-23
"Atlantic Southeast Airlines",5,5,14,-1,277,1
"American Airlines Inc.",11,1,12,-3,1846,-8
"Delta Air Lines Inc.",12,2,26,-7,2640,14
"Atlantic Southeast Airlines",2,7,30,-5,241,5
"American Eagle Airlines Inc.",4,2,15,-4,285,-20
"United Air Lines Inc.",6,3,18,24,2306,-7
"Hawaiian Airlines Inc.",12,5,14,-7,2486,-13
"Delta Air Lines Inc.",3,3,11,-10,1522,-17
"Southwest Airlines Co.",5,1,16,-1,306,0
"Southwest Airlines Co.",11,6,10,7,920,-4
"US Airways Inc.",2,1,20,-3,280,1
"Southwest Airlines Co.",6,3,8,31,370,34
"Delta Air Lines Inc.",7,6,12,-4,1517,-17
"United Air Lines Inc.",11,6,22,-3,679,-11
"Delta Air Lines Inc.",3,2,14,-5,2079,-25
"Delta Air Lines Inc.",11,5,16,1,547,-12
"Atlantic Southeast Airlines",9,1,10,-8,458,-3
"Spirit Air Lines",10,6,15,23,689,12
"Southwest Airlines Co.",7,3,10,-3,1020,-10
"American Airlines Inc.",11,1,11,-2,683,20
"American Eagle Airlines Inc.",4,2,11,-4,530,-6
"Southwest Airlines Co.",11,6,12,-5,270,-15
"Delta Air Lines Inc.",6,3,11,-3,944,-24
"JetBlue Airways",8,7,20,1,989,-1
"Skywest Airlines Inc.",1,5,57,10,237,30
"US Airways Inc.",5,3,10,-6,255,-13
"Delta Air Lines Inc.",7,6,11,0,1269,-9
"Southwest Airlines Co.",4,1,21,10,696,14
"United Air Lines Inc.",8,7,20,-5,1514,-14
"Skywest Airlines Inc.",6,4,28,5,781,25
"Delta Air Lines Inc.",9,7,22,-4,502,-26
"Southwest Airlines Co.",4,3,16,-8,314,-11
"Southwest Airlines Co.",5,1,14,-2,612,-2
"Southwest Airlines Co.",2,2,7,0,377,-13
"Delta Air Lines Inc.",8,6,12,88,164,94
"American Airlines Inc.",7,6,19,-4,2402,-33
"Virgin America",6,6,11,-5,1184,0
"Atlantic Southeast Airlines",9,3,10,42,284,33
"Atlantic Southeast Airlines",6,2,20,-5,438,-12
"Southwest Airlines Co.",6,5,9,128,507,134
"American Eagle Airlines Inc.",7,3,17,-13,461,-27
"Southwest Airlines Co.",6,4,10,-10,500,-19
"American Airlines Inc.",3,1,14,3,1723,-2
"Southwest Airlines Co.",5,7,9,-10,602,-21
"Southwest Airlines Co.",3,7,10,47,417,41
"American Airlines Inc.",8,2,13,-5,370,-20
"Delta Air Lines Inc.",1,4,19,-7,515,-19
"US Airways Inc.",6,1,15,-3,361,-17
"American Eagle Airlines Inc.",6,1,16,-8,134,-5
"JetBlue Airways",3,3,17,-8,994,-8
"Southwest Airlines Co.",6,5,17,-1,446,-15
"American Airlines Inc.",10,5,40,4,733,23
"JetBlue Airways",5,7,24,-6,200,-18
"Atlantic Southeast Airlines",3,2,12,-4,288,-11
"American Airlines Inc.",12,2,19,16,802,28
"Southwest Airlines Co.",11,6,17,0,302,5
"Delta Air Lines Inc.",12,2,21,-3,874,-17
"Southwest Airlines Co.",11,5,12,-5,472,-10
